Scenario,Region,Variable,Type,Year,Value
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2005,1725.168
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2006,1855.169
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2007,1870.362
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2008,1917.388
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2009,1861.5
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2010,1908.777
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2011,1972.19
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2012,2089.118
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2013,2250.1
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2014,3497.7
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2015,2120.298
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2016,2127.448
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2017,1158.511
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2018,1837.126
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2019,1844.108
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2020,1631.825
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2021,1631.824
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2022,1807.0229
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2023,1807.0242
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2024,1807.0228
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2025,1807.0241
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2026,1807.0228
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2027,1807.0229
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2028,1807.0228
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2029,1807.0229
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2030,1807.024
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2031,1801.6367
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2032,1788.0174
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2033,1786.062
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2034,1782.5503
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2035,1780.1917
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2036,1800.0056
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2037,1802.1981
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2038,1833.44
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2039,1836.9159
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2040,1832.7877
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2041,1843.8211
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2042,1838.9723
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2043,1904.379
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2044,1899.511
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2045,1901.9755
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2046,2094.9637
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2047,2137.7179
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2048,2035.3227
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2049,1870.1956
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2050,1878.6381
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2005,2863.407
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2006,2948.704
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2007,2948.704
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2008,2467.383
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2009,2162.837
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2010,3810.735
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2011,4110.999
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2012,4034.091
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2013,3821.901
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2014,5856.074
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2015,3658.621
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2016,4486.414
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2017,1858.063
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2018,3319.555
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2019,3275.151
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2020,3275.15
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2021,3275.15
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2022,3275.151
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2023,3275.151
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2024,3275.151
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2025,3275.151
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2026,3275.15
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2027,3275.152
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2028,3275.151
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2029,3275.151
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2030,3275.151
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2031,3275.151
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2032,3275.151
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2033,3275.152
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2034,3275.152
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2035,3275.151
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2036,3275.15
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2037,3275.151
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2038,3275.151
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2039,3275.15
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2040,3275.151
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2041,3275.151
