Scenario,Region,Variable,Year,Value
Current Policies,Alberta,Exports,2005,85.69
Current Policies,Alberta,Imports,2005,451.73
Current Policies,Alberta,Interprovincial In-Flows,2005,1740.06
Current Policies,Alberta,Interprovincial Out-Flows,2005,1198.17
Current Policies,Alberta,Net Exports,2005,-366.04
Current Policies,Alberta,Net Interprovincial Out-Flows,2005,-541.89
Current Policies,British Columbia,Exports,2005,8258.69
Current Policies,British Columbia,Imports,2005,6253.11
Current Policies,British Columbia,Interprovincial In-Flows,2005,953
Current Policies,British Columbia,Interprovincial Out-Flows,2005,988.77
Current Policies,British Columbia,Net Exports,2005,2005.58
Current Policies,British Columbia,Net Interprovincial Out-Flows,2005,35.77
Current Policies,Canada,Exports,2005,43527.53
Current Policies,Canada,Imports,2005,19676.9
Current Policies,Canada,Interprovincial In-Flows,2005,47302.96
Current Policies,Canada,Interprovincial Out-Flows,2005,47303.41
Current Policies,Canada,Net Exports,2005,23850.63
Current Policies,Canada,Net Interprovincial Out-Flows,2005,0.45
Current Policies,Manitoba,Exports,2005,12140.6
Current Policies,Manitoba,Imports,2005,244.35
Current Policies,Manitoba,Interprovincial In-Flows,2005,65.91
Current Policies,Manitoba,Interprovincial Out-Flows,2005,3300.92
Current Policies,Manitoba,Net Exports,2005,11896.25
Current Policies,Manitoba,Net Interprovincial Out-Flows,2005,3235.01
Current Policies,New Brunswick,Exports,2005,2961.74
Current Policies,New Brunswick,Imports,2005,2905.23
Current Policies,New Brunswick,Interprovincial In-Flows,2005,83.15
Current Policies,New Brunswick,Interprovincial Out-Flows,2005,2360.93
Current Policies,New Brunswick,Net Exports,2005,56.51
Current Policies,New Brunswick,Net Interprovincial Out-Flows,2005,2277.78
Current Policies,Newfoundland and Labrador,Exports,2005,0
Current Policies,Newfoundland and Labrador,Imports,2005,0
Current Policies,Newfoundland and Labrador,Interprovincial In-Flows,2005,15.69
Current Policies,Newfoundland and Labrador,Interprovincial Out-Flows,2005,30204.72
Current Policies,Newfoundland and Labrador,Net Exports,2005,0
Current Policies,Newfoundland and Labrador,Net Interprovincial Out-Flows,2005,30189.03
Current Policies,Nova Scotia,Exports,2005,104.43
Current Policies,Nova Scotia,Imports,2005,69.3
Current Policies,Nova Scotia,Interprovincial In-Flows,2005,185.86
Current Policies,Nova Scotia,Interprovincial Out-Flows,2005,32.68
Current Policies,Nova Scotia,Net Exports,2005,35.13
Current Policies,Nova Scotia,Net Interprovincial Out-Flows,2005,-153.18
Current Policies,Ontario,Exports,2005,8720
Current Policies,Ontario,Imports,2005,8903
Current Policies,Ontario,Interprovincial In-Flows,2005,5795
Current Policies,Ontario,Interprovincial Out-Flows,2005,5567
Current Policies,Ontario,Net Exports,2005,-183
Current Policies,Ontario,Net Interprovincial Out-Flows,2005,-228
Current Policies,Prince Edward Island,Exports,2005,0
Current Policies,Prince Edward Island,Imports,2005,0
Current Policies,Prince Edward Island,Interprovincial In-Flows,2005,1151.69
Current Policies,Prince Edward Island,Interprovincial Out-Flows,2005,0
Current Policies,Prince Edward Island,Net Exports,2005,0
